,Year of Observation,Insurance Period,Residential,Building Painted,Building Fenced,Garden,Settlement,Building Dimension,Building Type,Date Of Occupancy,Number of Windows,Geo Code,Claim
1047,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1341,2,1960,3,13203,0
1048,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,300,2,1960,4,13203,0
1049,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,300,2,1960,4,13203,0
1050,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2100,2,1970,6,13203,0
1051,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,440,2,1900,4,13203,0
1052,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,830,2,2011,5,13203,0
1053,2014,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,830,2,2011,5,13203,1
1054,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,650,2,1900,4,13203,0
1055,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,425,2,1960,4,13203,0
1056,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,720,2,1960,4,13203,0
1057,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,720,2,1960,4,13203,0
1058,2014,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,2420,2,1960,4,13203,0
1059,2015,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,460,2,1960,4,13203,0
1060,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1200,2,1960,4,13203,1
1061,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1200,2,1960,4,13203,0
1062,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,500,2,1960,4,13203,0
1063,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13203,0
1064,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,700,2,1960,4,13203,0
1065,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,700,2,1960,4,13203,1
1066,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,370,2,1960,4,13203,0
1067,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,370,2,1960,4,13203,0
1068,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,210,2,1960,4,13203,0
1069,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,400,2,1930,3,13203,0
1070,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,370,2,1950,3,13203,0
1071,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,470,2,1900,4,13203,1
1072,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,470,2,1900,4,13203,1
1073,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,350,2,1960,4,13203,0
1074,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,500,2,1940,4,13204,1
1075,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,500,2,1960,4,13204,0
1076,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1500,2,1960,5,13204,1
1077,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,513,2,1950,4,13204,1
1078,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,470,2,1960,4,13204,0
1079,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,13204,1
1080,2013,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,13204,0
1081,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,402,2,1960,4,13204,0
1082,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,402,2,1960,4,13204,0
1083,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1830,2,1980,4,13204,1
1084,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,320,2,1960,3,13204,0
1085,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,320,2,1960,3,13204,1
1086,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,900,2,1900,5,13204,1
1087,2016,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,900,2,1900,5,13204,0
1088,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1566,2,1950,7,13204,0
1089,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2400,2,1960,5,13204,0
1090,2015,0 - 5 Months,1,Not Painted,Fenced,No Garden,Rural area,1950,2,1957,5,13204,0
1091,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3500,2,1957,4,13204,1
1092,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,200,2,1930,4,13204,0
1093,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1050,2,1864,6,13204,1
1094,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1890,2,1965,5,13204,0
1095,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,950,2,1960,5,13204,0
1096,2012,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,300,2,1960,4,13204,0
1097,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1671,2,1960,8,13204,0
1098,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,460,2,1900,4,13204,0
1099,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,2,1942,2,13204,0
1100,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,2,1942,2,13204,0
1101,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,2,1942,2,13204,0
1102,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,660,2,1945,5,13204,0
1103,2013,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,335,2,1960,4,13204,0
1104,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,610,2,1960,4,13204,0
1105,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,480,2,1960,4,13204,1
1106,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,510,2,1960,4,13204,1
1107,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,350,2,1960,4,13204,0
1108,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,750,2,1960,4,13204,0
1109,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,870,2,1960,4,13204,1
1110,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,440,2,1960,4,13204,0
1111,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,700,2,1960,4,13204,0
1112,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,900,2,1960,4,13204,0
1113,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,13204,0
1114,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,13204,0
1115,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,760,2,1960,4,13204,0
1116,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,13204,0
1117,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1230,2,1980,4,13204,0
1118,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1230,2,1980,4,13204,0
1119,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,800,2,1960,4,13204,0
1120,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,220,2,1980,4,13204,0
1121,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,220,2,1980,4,13204,0
1122,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3100,2,1980,4,13204,0
1123,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3100,2,1980,4,13204,1
1124,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,900,2,1960,4,13204,0
1125,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,350,2,1980,4,13204,1
1126,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,890,2,1940,3,13205,1
1127,2013,6 Months - 1 Year,0,Painted,Fenced,No Garden,Rural area,2520,2,1950,7,13205,0
1128,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13205,1
1129,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13205,0
1130,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13205,1
1131,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1100,2,1960,4,13205,0
1132,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,820,2,1960,4,13205,0
1133,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,500,2,1960,4,13205,0
1134,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,13205,0
1135,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1231,2,1960,4,13205,0
1136,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,724,2,1960,4,13205,0
1137,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,724,2,1960,4,13205,0
1138,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,357,2,1900,4,13205,0
1139,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,600,2,1960,4,13205,0
1140,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,470,2,1960,4,13205,0
1141,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1040,2,1960,5,13205,0
1142,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,755,2,1900,5,13205,0
1143,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,650,2,1940,5,13205,0
1144,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,650,2,1940,5,13205,0
1145,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,650,2,1900,5,13205,0
1146,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1760,2,1960,8,13205,0
1147,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,564,2,1960,2,13205,0
1148,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2027,2,1970,7,13205,1
1149,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,150,2,1900,2,13205,0
1150,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1300,2,1965,5,13205,0
1151,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1000,2,1900,5,13205,0
1152,2013,0 - 5 Months,1,Not Painted,Fenced,No Garden,Rural area,924,2,1900,4,13205,0
1153,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,400,2,1930,2,13205,0
1154,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,546,2,1960,4,13205,0
1155,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,7200,2,1960,10,13205,1
1156,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,526,2,1900,3,13205,0
1157,2012,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,1425,2,1950,7,13205,0
1158,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,590,2,1900,5,13205,1
1159,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1425,2,1950,7,13205,0
1160,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,330,2,1960,2,13205,0
1161,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,325,2,1930,4,13205,0
1162,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,325,2,1930,4,13205,0
1163,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,890,2,1900,5,13205,1
1164,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,450,2,1920,5,13205,0
1165,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,630,2,1900,5,13205,0
1166,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13205,0
1167,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,570,2,1980,4,13205,0
1168,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,13205,0
1169,2013,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,1400,2,1960,4,13205,0
1170,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,350,2,1900,4,13205,0
1171,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,360,2,1960,4,13205,0
1172,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1200,2,1960,4,13205,0
1173,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,670,2,1960,4,13205,0
1174,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,350,2,1960,4,13205,0
1175,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,350,2,1960,4,13205,0
1176,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4200,2,1960,8,13205,1
1177,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,450,2,1900,4,13205,0
1178,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,320,2,1920,4,13205,1
1179,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,400,2,1960,4,13205,0
1180,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,520,2,1960,4,13205,0
1181,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,765,2,1900,8,13205,0
1182,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,390,2,1900,3,13205,0
1183,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,390,2,1900,3,13205,0
1184,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,600,2,1900,5,13205,0
1185,2013,0 - 5 Months,1,Not Painted,Not Fenced,Has Garden,Urban area,480,2,1960,4,13205,0
1186,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,5195,2,1960,4,13205,0
1187,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1414,2,1960,4,13205,1
1188,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1414,2,1960,4,13205,0
1189,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,720,2,1960,4,13205,0
1190,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,720,2,1960,4,13205,0
1191,2014,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,345,2,1960,4,13205,0
1192,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,2,1920,5,13205,0
1193,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,800,2,1960,4,13205,0
1194,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,551,2,1960,4,13205,0
1195,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,490,2,1960,4,13205,1
1196,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,716,2,1960,4,13205,1
1197,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13205,0
1198,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,900,2,1960,4,13205,1
1199,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2950,2,1960,4,13205,0
1200,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1300,2,1960,4,13205,1
1201,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13205,1
1202,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3735,2,2003,6,13205,0
1203,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1166,2,1960,4,13205,0
1204,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1166,2,1960,4,13205,1
1205,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1730,2,1978,6,13205,0
1206,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,250,2,1960,3,13205,1
1207,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,250,2,1960,3,13205,0
1208,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,250,2,1960,3,13205,0
1209,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1000,2,1960,4,13206,0
1210,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1100,2,1960,4,13206,0
1211,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,550,2,1980,4,13206,0
1212,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,220,2,1950,3,13206,0
1213,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,800,2,1960,4,13206,1
1214,2012,6 Months - 1 Year,0,Painted,Fenced,No Garden,Rural area,3040,2,1960,6,13206,0
1215,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1600,2,1960,4,13206,0
1216,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1600,2,1960,4,13206,1
1217,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,720,2,1900,5,13206,0
1218,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13206,0
1219,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,370,2,1960,4,13206,1
1220,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,690,2,1900,5,13206,0
1221,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1820,2,1900,6,13206,0
1222,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,605,2,1960,4,13206,0
1223,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,605,2,1960,4,13206,0
1224,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1320,2,1930,6,13206,0
1225,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1320,2,1930,6,13206,0
1226,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1388,2,1945,5,13206,0
1227,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1388,2,1945,5,13206,0
1228,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,865,2,1960,6,13206,0
1229,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,2,1960,5,13206,0
1230,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,880,2,1900,4,13206,0
1231,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,10686,2,1976,10,13206,0
1232,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1215,2,1970,6,13206,0
1233,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,385,2,1930,4,13206,0
1234,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,441,2,1940,5,13206,0
1235,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1500,2,1960,5,13206,0
1236,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,670,2,1900,5,13206,0
1237,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,952,2,1960,4,13206,0
1238,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,499,2,1970,4,13206,1
1239,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,470,2,1900,5,13206,0
1240,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5966,2,1955,9,13206,1
1241,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5966,2,1955,9,13206,1
1242,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,600,2,1900,5,13206,0
1243,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,800,2,1900,5,13206,0
1244,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1200,2,1939,7,13206,0
1245,2016,0 - 5 Months,1,Not Painted,Fenced,No Garden,Rural area,480,2,1930,4,13206,0
1246,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,980,2,1960,4,13206,0
1247,2012,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,450,2,1920,2,13206,0
1248,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,550,2,1900,5,13206,0
1249,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,370,2,1940,2,13206,0
1250,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,480,2,1930,4,13206,0
1251,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,600,2,1930,5,13206,0
1252,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,280,2,1900,4,13206,0
1253,2016,0 - 5 Months,1,Not Painted,Fenced,No Garden,Rural area,300,2,1920,3,13206,0
1254,2016,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,613,2,1930,6,13206,0
1255,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,850,2,1960,4,13206,0
1256,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,700,2,1960,4,13206,0
1257,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2600,2,1960,4,13206,1
1258,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,550,2,1960,4,13206,0
1259,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2250,2,1960,4,13206,0
1260,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1220,2,1960,4,13206,0
1261,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1220,2,1960,4,13206,0
1262,2013,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,1705,2,1960,4,13206,0
1263,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,640,2,1960,4,13206,0
1264,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1192,2,1960,4,13206,0
1265,2013,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,340,2,1960,4,13206,0
1266,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,500,2,1900,5,13206,0
1267,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1950,2,1960,4,13206,0
1268,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,550,2,1960,4,13206,0
1269,2014,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,1100,2,1960,4,13206,0
1270,2015,0 - 5 Months,1,Not Painted,Not Fenced,Has Garden,Urban area,1445,2,1960,4,13206,0
1271,2012,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,420,2,1960,4,13206,1
1272,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,240,2,1960,4,13206,0
1273,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1830,2,1960,4,13206,0
1274,2015,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,390,2,1960,4,13206,0
1275,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,640,2,1960,4,13206,1
1276,2014,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,300,2,1960,4,13206,0
1277,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,230,2,1960,4,13206,0
1278,2016,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,2300,2,1934,7,13206,0
1279,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2400,2,1960,4,13206,1
1280,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,450,2,1930,4,13206,0
1281,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,850,2,1960,4,13206,0
1282,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,280,2,1900,4,13206,0
1283,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1500,2,1960,4,13206,0
1284,2015,0 - 5 Months,1,Painted,Not Fenced,Has Garden,Urban area,2400,2,1960,4,13206,0
1285,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,600,2,1960,4,13206,0
1286,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,238,2,1960,4,13206,0
1287,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1650,2,1960,4,13206,1
1288,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2000,2,1960,4,13206,1
1289,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,920,2,1960,4,13206,0
1290,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,450,2,1960,4,13206,0
1291,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,240,2,1960,4,13206,0
1292,2013,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,150,2,1960,4,13206,0
1293,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1620,2,1960,4,13206,0
1294,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1620,2,1960,4,13206,0
1295,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,390,2,1960,4,13206,0
1296,2016,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,950,2,1980,4,13206,0
1297,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,900,2,1960,4,13206,0
1298,2015,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,760,2,1960,4,13206,0
